dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	date	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
nytimes/us-counties	c367b505d0fe	255551621c6b	total-region	Americas		Americas					2020-01-21	1					1			1	9.855481835916291e-05			9.855481835916291e-05				100									42447098	1014663734		
nytimes/us-counties	0059d57fc3ff	255551621c6b	total-region	Americas		Americas					2020-01-24	4					2			2	0.00019710963671832582			0.00019710963671832582				100	1			1	100			100	42447098	1014663734		
nytimes/us-counties	0c0c2322ac9f	255551621c6b	total-region	Americas		Americas					2020-01-25	5					3			3	0.0002956644550774888			0.0002956644550774888				100	1			1	50			50	42447098	1014663734		
nytimes/us-counties	278fa7af0812	255551621c6b	total-region	Americas		Americas					2020-01-26	6					5			5	0.0004927740917958145			0.0004927740917958145				100	2			2	66.66666666666667			66.66666666666667	42447098	1014663734		
nytimes/us-counties	d48f964985fd	255551621c6b	total-region	Americas		Americas					2020-01-30	10					6			6	0.0005913289101549775			0.0005913289101549775				100	1			1	20			20	42447098	1014663734		
nytimes/us-counties	09c6a0c55745	255551621c6b	total-region	Americas		Americas					2020-01-31	11					7			7	0.0006898837285141404			0.0006898837285141404				100	1			1	16.666666666666668			16.666666666666668	42447098	1014663734		
nytimes/us-counties	5052ed7b3dca	255551621c6b	total-region	Americas		Americas					2020-02-01	12					8			8	0.0007884385468733033			0.0007884385468733033				100	1			1	14.285714285714286			14.285714285714286	42447098	1014663734		
nytimes/us-counties	f69920bd2659	255551621c6b	total-region	Americas		Americas					2020-02-02	13	1				11			11	0.001084103001950792			0.001084103001950792				100	3			3	37.5			37.5	42447098	1014663734		
nytimes/us-counties	4fb198bd50f8	255551621c6b	total-region	Americas		Americas					2020-02-05	16	4				12			12	0.001182657820309955			0.001182657820309955				100	1			1	9.090909090909092			9.090909090909092	42447098	1014663734		
nytimes/us-counties	6c1ed8d507eb	255551621c6b	total-region	Americas		Americas					2020-02-10	21	9				13			13	0.001281212638669118			0.001281212638669118				100	1			1	8.333333333333334			8.333333333333334	42447098	1014663734		
nytimes/us-counties	c120ec9e3977	255551621c6b	total-region	Americas		Americas					2020-02-12	23	11				14			14	0.0013797674570282807			0.0013797674570282807				100	1			1	7.6923076923076925			7.6923076923076925	42447098	1014663734		
nytimes/us-counties	4b6f1a31a277	255551621c6b	total-region	Americas		Americas					2020-02-13	24	12				15			15	0.0014783222753874438			0.0014783222753874438				100	1			1	7.142857142857143			7.142857142857143	42447098	1014663734		
nytimes/us-counties	ec5459993800	255551621c6b	total-region	Americas		Americas					2020-02-17	28	16				25			25	0.0024638704589790726			0.0024638704589790726				100	10			10	66.66666666666667			66.66666666666667	42447098	1014663734		
nytimes/us-counties	0e36b43e42c4	255551621c6b	total-region	Americas		Americas					2020-02-20	31	19				27			27	0.0026609800956973986			0.0026609800956973986				100	2			2	8			8	42447098	1014663734		
nytimes/us-counties	199cb891ff5e	255551621c6b	total-region	Americas		Americas					2020-02-21	32	20				30			30	0.0029566445507748875			0.0029566445507748875				100	3			3	11.11111111111111			11.11111111111111	42447098	1014663734		
nytimes/us-counties	af1ce7ecdad7	255551621c6b	total-region	Americas		Americas					2020-02-24	35	23				43			43	0.004237857189444006			0.004237857189444006				100	13			13	43.333333333333336			43.333333333333336	42447098	1014663734		
nytimes/us-counties	7dff33fd6fa1	255551621c6b	total-region	Americas		Americas					2020-02-25	36	24				45			45	0.004434966826162331			0.004434966826162331				100	2			2	4.651162790697675			4.651162790697675	42447098	1014663734		
nytimes/us-counties	ef144fcd557e	255551621c6b	total-region	Americas		Americas					2020-02-26	37	25				60			60	0.005913289101549775			0.005913289101549775				100	15			15	33.333333333333336			33.333333333333336	42447098	1014663734		
nytimes/us-counties	66379b5d9a1c	255551621c6b	total-region	Americas		Americas					2020-02-28	39	27				65			65	0.006406063193345589			0.006406063193345589				100	5			5	8.333333333333334			8.333333333333334	42447098	1014663734		
nytimes/us-counties	edae47e0f4ac	255551621c6b	total-region	Americas		Americas					2020-02-29	40	28				70	1		69	0.006898837285141403	9.855481835916291e-05		0.006800282466782241		1.4285714285714286		98.57142857142858	5	1		4	7.6923076923076925			6.153846153846154	42447098	1014663734		
nytimes/us-counties	fac0f8a00ec0	255551621c6b	total-region	Americas		Americas					2020-03-01	41	29				88	3		85	0.008672824015606337	0.0002956644550774888		0.008377159560528848		3.4090909090909087		96.5909090909091	18	2		16	25.714285714285715	200		23.18840579710145	42447098	1014663734		
nytimes/us-counties	a30ff97e2a5b	255551621c6b	total-region	Americas		Americas					2020-03-02	42	30	1			104	6		98	0.010249701109352943	0.0005913289101549775		0.009658372199197966		5.769230769230769		94.23076923076923	16	3		13	18.181818181818183	100		15.294117647058824	42447098	1014663734		
nytimes/us-counties	82d77786547e	255551621c6b	total-region	Americas		Americas					2020-03-03	43	31	2			125	10		115	0.012319352294895364	0.000985548183591629		0.011333804111303735		8		92	21	4		17	20.192307692307693	66.66666666666667		17.346938775510203	42447098	1014663734		
nytimes/us-counties	9a846cdf964a	255551621c6b	total-region	Americas		Americas					2020-03-04	44	32	3			161	12		149	0.01586732575582523	0.001182657820309955		0.014684667935515273		7.453416149068323		92.54658385093167	36	2		34	28.8	20		29.565217391304348	42447098	1014663734		
nytimes/us-counties	aaddf2d6eb13	255551621c6b	total-region	Americas		Americas					2020-03-05	45	33	4			228	12		216	0.022470498585889145	0.001182657820309955		0.02128784076557919		5.263157894736842		94.73684210526315	67			67	41.61490683229814			44.966442953020135	42447098	1014663734		
nytimes/us-counties	1490b3bc255b	255551621c6b	total-region	Americas		Americas					2020-03-06	46	34	5			311	15		296	0.030650548509699664	0.0014783222753874438		0.02917222623431222		4.823151125401929		95.17684887459808	83	3		80	36.40350877192982	25		37.03703703703704	42447098	1014663734		
nytimes/us-counties	07f86c778fbd	255551621c6b	total-region	Americas		Americas					2020-03-07	47	35	6			428	19		409	0.04218146225772173	0.0018725415488240955		0.04030892070889763		4.439252336448598		95.56074766355141	117	4		113	37.62057877813505	26.666666666666668		38.17567567567568	42447098	1014663734		
nytimes/us-counties	90d0b3faaf10	255551621c6b	total-region	Americas		Americas					2020-03-08	48	36	7			547	22		525	0.05390948564246212	0.002168206003901584		0.05174127963856053		4.021937842778794		95.97806215722122	119	3		116	27.80373831775701	15.789473684210526		28.361858190709047	42447098	1014663734		
nytimes/us-counties	6ef31b2eea0f	255551621c6b	total-region	Americas		Americas					2020-03-09	49	37	8			748	26		722	0.07371900413265386	0.002562425277338236		0.07115657885531562		3.4759358288770055		96.52406417112299	201	4		197	36.74588665447897	18.181818181818183		37.523809523809526	42447098	1014663734		
nytimes/us-counties	82382f658440	255551621c6b	total-region	Americas		Americas					2020-03-10	50	38	9	1		1018	31		987	0.10032880508962785	0.0030551993691340503		0.09727360572049379		3.045186640471513		96.95481335952849	270	5		265	36.096256684491976	19.23076923076923		36.70360110803324	42447098	1014663734		
nytimes/us-counties	3cbc279043d2	255551621c6b	total-region	Americas		Americas					2020-03-11	51	39	10	2		1263	37		1226	0.12447473558762276	0.0036465282792890277		0.12082820730833373		2.929532858273951		97.07046714172604	245	6		239	24.06679764243615	19.35483870967742		24.214792299898683	42447098	1014663734		
nytimes/us-counties	deece7dcd455	255551621c6b	total-region	Americas		Americas					2020-03-12	52	40	11	3		1668	43		1625	0.16438943702308376	0.004237857189444006		0.16015157983363973		2.577937649880096		97.42206235011992	405	6		399	32.066508313539195	16.216216216216218		32.54486133768352	42447098	1014663734		
nytimes/us-counties	e3bf1c7a15c8	255551621c6b	total-region	Americas		Americas					2020-03-13	53	41	12	4		2224	50		2174	0.2191859160307783	0.004927740917958145		0.2142581751128202		2.2482014388489207		97.75179856115108	556	7		549	33.333333333333336	16.27906976744186		33.784615384615385	42447098	1014663734		
nytimes/us-counties	7a30e0630d12	255551621c6b	total-region	Americas		Americas					2020-03-14	54	42	13	5		2898	60		2838	0.2856118636048541	0.005913289101549775		0.2796985745033044		2.070393374741201		97.9296066252588	674	10		664	30.305755395683452	20		30.542778288868444	42447098	1014663734		
nytimes/us-counties	9e8654de569f	255551621c6b	total-region	Americas		Americas					2020-03-15	55	43	14	6		3597	68		3529	0.354501681637909	0.0067017276484230785		0.34779995398948593		1.890464275785377		98.10953572421462	699	8		691	24.12008281573499	13.333333333333334		24.34813248766737	42447098	1014663734		
nytimes/us-counties	dbef3d81047a	255551621c6b	total-region	Americas		Americas					2020-03-16	56	44	15	7		4504	91		4413	0.4438909018896698	0.008968488470683825		0.43492241341898596		2.020426287744227		97.97957371225577	907	23		884	25.215457325549067	33.8235294117647		25.04958911873052	42447098	1014663734		
nytimes/us-counties	ee306f025d1d	255551621c6b	total-region	Americas		Americas					2020-03-17	57	45	16	8		5902	116		5786	0.5816705379557795	0.011432358929662897		0.5702381790261166		1.965435445611657		98.03456455438835	1398	25		1373	31.039076376554174	27.47252747252747		31.112621799229547	42447098	1014663734		
nytimes/us-counties	adf34332d8d8	255551621c6b	total-region	Americas		Americas					2020-03-18	58	46	17	9		8337	157		8180	0.8216515206603412	0.015473106482388577		0.8061784141779527		1.883171404581984		98.11682859541801	2435	41		2394	41.257200948830906	35.3448275862069		41.37573453162807	42447098	1014663734		
nytimes/us-counties	41ecba58fc3c	255551621c6b	total-region	Americas		Americas					2020-03-19	59	47	18	10	1	12401	203		12198	1.2221783024719792	0.02000662812691007		1.2021716743450692		1.6369647609063787		98.36303523909362	4064	46		4018	48.74655151733237	29.29936305732484		49.119804400978	42447098	1014663734		
nytimes/us-counties	374f5287221a	255551621c6b	total-region	Americas		Americas					2020-03-20	60	48	19	11	2	17982	265		17717	1.7722127437344675	0.026117026865178174		1.7460957168692892		1.4736959181403626		98.52630408185964	5581	62		5519	45.0044351261995	30.541871921182267		45.245122151172325	42447098	1014663734		
nytimes/us-counties	54a1719a5ee4	255551621c6b	total-region	Americas		Americas					2020-03-21	61	49	20	12	3	24517	343		24174	2.4162684817115974	0.03380430269719288		2.382464179014404		1.3990292450136639		98.60097075498634	6535	78		6457	36.34189745300856	29.433962264150942		36.44522210306485	42447098	1014663734		
nytimes/us-counties	86713d6cc0a8	255551621c6b	total-region	Americas		Americas					2020-03-22	62	50	21	13	4	33034	435		32599	3.255659869676588	0.04287134598623587		3.212788523690352		1.3168250893019313		98.68317491069807	8517	92		8425	34.73916058245299	26.82215743440233		34.851493339952015	42447098	1014663734		
nytimes/us-counties	ca6b5e04585e	255551621c6b	total-region	Americas		Americas					2020-03-23	63	51	22	14	5	43470	545		42925	4.2841779540728115	0.053712376005743794		4.230465578067068		1.2537382102599495		98.74626178974005	10436	110		10326	31.591693406793002	25.28735632183908		31.675818276634253	42447098	1014663734		
nytimes/us-counties	688f8655bca6	255551621c6b	total-region	Americas		Americas					2020-03-24	64	52	23	15	6	54136	745		53391	5.335363646691643	0.07342333967757636		5.261940307014068		1.3761637357765628		98.62383626422344	10666	200		10466	24.536461927766275	36.69724770642202		24.382061735585324	42447098	1014663734		
nytimes/us-counties	0a2a44a55cca	255551621c6b	total-region	Americas		Americas					2020-03-25	65	53	24	16	7	68742	999		67743	6.7748553236455775	0.09845626354080374		6.676399060104774		1.4532600157109192		98.54673998428908	14606	254		14352	26.980198019801982	34.09395973154363		26.880934989043098	42447098	1014663734		
nytimes/us-counties	8a669092d034	255551621c6b	total-region	Americas		Americas					2020-03-26	66	54	25	17	8	85566	1278		84288	8.432941587720135	0.1259530578630102		8.306988529857124		1.4935839001472546		98.50641609985274	16824	279		16545	24.47412062494545	27.92792792792793		24.42318763562287	42447098	1014663734		
nytimes/us-counties	d4f0fe75c4ca	255551621c6b	total-region	Americas		Americas					2020-03-27	67	55	26	18	9	102860	1651		101209	10.137348616423496	0.16271400511097797		9.974634611312519		1.6050943029360296		98.39490569706398	17294	373		16921	20.21129888039642	29.18622848200313		20.075218299164767	42447098	1014663734		
nytimes/us-counties	e9143f24a602	255551621c6b	total-region	Americas		Americas					2020-03-28	68	56	27	19	10	123772	2138		121634	12.198326977950313	0.2107102016518903		11.987616776298422		1.727369679733704		98.2726303202663	20912	487		20425	20.33054637371184	29.497274379164143		20.18101157011728	42447098	1014663734		
nytimes/us-counties	0ffad29b65a1	255551621c6b	total-region	Americas		Americas					2020-03-29	69	57	28	20	11	142118	2412		139706	14.006413675567513	0.23771422188230093		13.768699453685215		1.697181215609564		98.30281878439044	18346	274		18072	14.822415408977799	12.815715622076707		14.857687817551014	42447098	1014663734		
nytimes/us-counties	13f1c46788df	255551621c6b	total-region	Americas		Americas					2020-03-30	70	58	29	21	12	163614	2908		160706	16.12494805101608	0.2865974117884458		15.838350639227636		1.7773540161599863		98.22264598384002	21496	496		21000	15.125459125515416	20.563847429519072		15.031566289207335	42447098	1014663734		
nytimes/us-counties	2ae852b9a61b	12267b90e88f	country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-14	1					1			1								100												
nytimes/us-counties	5c9676eed23f	12267b90e88f	country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-16	3					2			2								100	1			1	100			100				
nytimes/us-counties	a8825a5aab71	12267b90e88f	country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-18	5					3			3								100	1			1	50			50				
nytimes/us-counties	0deab77725c6	12267b90e88f	country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-20	7					6			6								100	3			3	100			100				
nytimes/us-counties	fa0650fc8314	12267b90e88f	country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-22	9	1				17			17								100	11			11	183.33333333333334			183.33333333333334				
nytimes/us-counties	414bdcb6b0b5	12267b90e88f	country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-27	14	6				19			19								100	2			2	11.764705882352942			11.764705882352942				
nytimes/us-counties	9e93e95b0bde	12267b90e88f	country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-29	16	8				23			23								100	4			4	21.05263157894737			21.05263157894737				
nytimes/us-counties	2d4f78f5c2eb	12267b90e88f	country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-30	17	9				30			30								100	7			7	30.434782608695652			30.434782608695652				
nytimes/us-counties	8c5e96fc4fc2	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-14	1					1			1								100												
nytimes/us-counties	16961ea3b80b	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-16	3					2			2								100	1			1	100			100				
nytimes/us-counties	de4c7056f257	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-18	5					3			3								100	1			1	50			50				
nytimes/us-counties	edc3102a2d09	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-20	7					6			6								100	3			3	100			100				
nytimes/us-counties	71e880e440cc	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-22	9	1				17			17								100	11			11	183.33333333333334			183.33333333333334				
nytimes/us-counties	fd343666a9cb	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-27	14	6				19			19								100	2			2	11.764705882352942			11.764705882352942				
nytimes/us-counties	fd85fbc64067	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-29	16	8				23			23								100	4			4	21.05263157894737			21.05263157894737				
nytimes/us-counties	50f5281ff451	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	2020-03-30	17	9				30			30								100	7			7	30.434782608695652			30.434782608695652				
nytimes/us-counties	277e58382ea0	21a21f180e9a	total-subregion	Caribbean		Caribbean					2020-03-13	1					3			3	0.007217072880816609			0.007217072880816609				100									231759	41568099		
nytimes/us-counties	f189a6090efb	21a21f180e9a	total-subregion	Caribbean		Caribbean					2020-03-14	2					5			5	0.012028454801361015			0.012028454801361015				100	2			2	66.66666666666667			66.66666666666667	231759	41568099		
nytimes/us-counties	3aa77cd42822	21a21f180e9a	total-subregion	Caribbean		Caribbean					2020-03-15	3					6			6	0.014434145761633217			0.014434145761633217				100	1			1	20			20	231759	41568099		
nytimes/us-counties	da5035a0b2bc	21a21f180e9a	total-subregion	Caribbean		Caribbean					2020-03-16	4					7			7	0.01683983672190542			0.01683983672190542				100	1			1	16.666666666666668			16.666666666666668	231759	41568099		
nytimes/us-counties	4b0431ba26b0	21a21f180e9a	total-subregion	Caribbean		Caribbean					2020-03-18	6					8			8	0.019245527682177625			0.019245527682177625				100	1			1	14.285714285714286			14.285714285714286	231759	41568099		
nytimes/us-counties	7885f1d5562a	21a21f180e9a	total-subregion	Caribbean		Caribbean					2020-03-19	7					9			9	0.021651218642449826			0.021651218642449826				100	1			1	12.5			12.5	231759	41568099		
nytimes/us-counties	a54489b179c4	21a21f180e9a	total-subregion	Caribbean		Caribbean					2020-03-20	8	1				20			20	0.04811381920544406			0.04811381920544406				100	11			11	122.22222222222223			122.22222222222223	231759	41568099		
nytimes/us-counties	a1b37ef8834c	21a21f180e9a	total-subregion	Caribbean		Caribbean					2020-03-21	9	2				27	1		26	0.06495365592734947	0.002405690960272203		0.06254796496707728		3.7037037037037033		96.29629629629629	7	1		6	35			30	231759	41568099		
nytimes/us-counties	5894bc689a60	21a21f180e9a	total-subregion	Caribbean		Caribbean					2020-03-22	10	3				40	1		39	0.09622763841088812	0.002405690960272203		0.09382194745061591		2.5		97.5	13			13	48.148148148148145			50	231759	41568099		
nytimes/us-counties	58629af91c45	21a21f180e9a	total-subregion	Caribbean		Caribbean					2020-03-23	11	4				48	2		46	0.11547316609306574	0.004811381920544406		0.11066178417252133		4.166666666666666		95.83333333333334	8	1		7	20	100		17.94871794871795	231759	41568099		
nytimes/us-counties	8aaa125f0773	21a21f180e9a	total-subregion	Caribbean		Caribbean					2020-03-24	12	5				56	2		54	0.13471869377524337	0.004811381920544406		0.12990731185469895		3.571428571428571		96.42857142857143	8			8	16.666666666666668			17.391304347826086	231759	41568099		
